word,valence,arousal,dominance,aoa,category
deuken,2.94,4.50,3.94,7.35,V
deur,4.13,3.56,3.94,3.84,N
dia,4.34,3.27,3.66,7.65,N
diamant,5.59,3.66,5.41,6.19,N
dicht,3.70,3.03,4.11,4.97,A
dichten,4.73,4.20,3.88,7.45,V
dictator,1.73,5.33,6.13,10.00,N
dictatoriaal,1.89,5.00,5.97,11.70,A
dief,2.16,5.48,4.44,5.35,N
diefstal,1.89,5.44,4.34,6.65,N
dienaar,3.34,3.88,2.19,8.03,N
dienen,3.56,4.14,2.52,7.55,V
diep,3.89,3.48,4.38,4.84,A
diepgang,5.17,4.06,4.69,9.48,N
dier,4.73,4.62,4.11,3.68,N
dierbaar,5.86,4.02,4.70,8.77,A
diesel,3.89,3.94,4.52,8.52,N
dij,4.17,3.56,3.83,7.10,N
dijk,4.48,3.20,4.64,6.68,N
dik,2.61,3.09,3.97,4.58,A
ding,4.14,3.23,3.66,4.55,N
diploma,5.88,4.14,5.19,7.87,N
direct,4.45,4.89,4.95,6.68,A
disco,5.16,5.78,4.17,8.06,N
discreet,4.76,3.28,4.27,10.81,A
distel,3.37,3.72,4.30,7.72,N
dochter,5.17,4.09,3.97,5.10,N
doden,1.42,5.97,5.25,6.10,V
doek,4.16,3.25,3.44,4.94,N
doel,5.09,4.56,5.00,6.52,N
doelloos,2.44,2.77,2.69,8.90,A
doelpunt,5.41,5.64,4.97,6.00,N
doeltreffend,5.56,4.95,5.61,9.03,A
doelwit,3.13,4.48,4.41,7.71,N
doen,4.72,4.92,4.69,4.06,V
