Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
evolueren,2.09923153505,0.000302858227226,99,53,1.0
berijden,2.09803515847,0.001845602108,71,38,0.140845070423
verslag,2.08485463286,8.39233705578e-20,624,333,0.217948717949
onthouden,2.08226084839,0.00638731413419,60,32,0.483333333333
smelten,2.082258418,0.00159229866527,75,40,0.653333333333
verzinnen,2.07423801302,2.50249618219e-05,139,74,0.482014388489
verdedigen,2.07172905336,3.61304996136e-09,265,141,0.2
bespelen,2.06817297796,5.77524542947e-06,158,84,0.0759493670886
programmeren,2.06490665169,0.00389524609139,64,34,0.421875
laden,2.06054672342,1.50975924557e-06,179,95,0.335195530726
overstromen,2.05706918616,0.00425582034373,66,35,0.272727272727
activeren,2.05621353319,1.49505906389e-05,149,79,0.214765100671
naderen,2.04972490287,0.0121514540711,51,27,0.921568627451
plannen,2.04241261203,9.13089382186e-11,333,176,0.642642642643
beledigen,2.02441668226,0.00825808937968,57,30,0.140350877193
beogen,2.01718563457,0.00906116623609,59,31,0.135593220339
teisteren,2.01717165205,0.000155086532174,118,62,0.0593220338983
blokkeren,2.01042337121,2.85109128851e-06,183,96,0.27868852459
bevruchten,1.99829126121,0.00608677625999,65,34,0.292307692308
verbreden,1.99829126121,0.00608677625999,65,34,0.307692307692
coveren,1.99829126121,0.00608677625999,65,34,0.184615384615
vorderen,1.99384307242,0.000317658775746,111,58,0.72972972973
bundelen,1.99384307242,0.000317658775746,111,58,0.351351351351
verwarmen,1.98759083297,0.000274526259272,115,60,0.0869565217391
verbergen,1.98485841275,4.73775277688e-08,257,134,0.560311284047
fuseren,1.98039366996,0.00087878339959,96,50,0.96875
domineren,1.97972268349,3.56002034793e-08,265,138,0.011320754717
versieren,1.97374756736,9.44201810875e-08,250,130,0.768
vermijden,1.97069088604,0.000827585599973,102,53,0.0980392156863
kennen,1.96469954238,2.7379386965e-17,636,330,0.245283018868
karakteriseren,1.95861066685,0.0026350904158,83,43,0.0722891566265
strijden,1.94695857811,1.64818728777e-06,211,109,0.0710900473934
misbruiken,1.94673275472,5.46938285678e-05,151,78,0.205298013245
ordenen,1.94343276349,0.011011198279,62,32,0.725806451613
liegen,1.94142083736,0.000248335764965,126,65,0.0952380952381
verwachten,1.94121818909,1.31670576966e-19,756,390,0.169312169312
verdeeld,1.93163081312,3.47263737634e-27,1092,562,0.498168498168
betrappen,1.93097338247,1.62217883259e-09,344,177,0.31976744186
delen,1.92905706478,8.05977893379e-09,315,162,0.0888888888889
bedreigen,1.92901017725,4.2772572978e-12,455,234,0.114285714286
sponsoren,1.92706535494,0.000785781290089,107,55,0.0280373831776
waarborgen,1.92318301938,0.00508286197019,74,38,0.432432432432
vermengen,1.91154850047,0.000344162752229,125,64,0.304
manipuleren,1.90669878021,0.00255202938619,88,45,0.352272727273
verfilmen,1.90569226372,2.01330344203e-05,178,91,0.280898876404
