word;aoa;percentknown;;;;;;
vangen;5,34;100,0;;;;;;
meester;5,34;99,6;;;;;;
maan;5,34;100,0;;;;;;
zoon;5,34;99,2;;;;;;
geld;5,34;100,0;;;;;;
vlinder;5,34;100,0;;;;;;
mier;5,34;100,0;;;;;;
kaak;5,35;98,6;;;;;;
heksen;5,35;100,0;;;;;;
melktand;5,35;100,0;;;;;;
tenen;5,35;100,0;;;;;;
wiel;5,35;99,1;;;;;;
druif;5,35;100,0;;;;;;
citroen;5,36;100,0;;;;;;
slee;5,36;100,0;;;;;;
droom;5,36;99,1;;;;;;
sjaal;5,36;100,0;;;;;;
rammelaar;5,37;100,0;;;;;;
emmer;5,37;100,0;;;;;;
tas;5,37;100,0;;;;;;
neef;5,37;100,0;;;;;;
bril;5,38;100,0;;;;;;
dak;5,38;100,0;;;;;;
vest;5,38;100,0;;;;;;
politieman;5,38;100,0;;;;;;
borstel;5,38;99,8;;;;;;
toren;5,38;100,0;;;;;;
veter;5,38;99,0;;;;;;
dom;5,39;100,0;;;;;;
blootje;5,39;100,0;;;;;;
boeken;5,39;100,0;;;;;;
drankje;5,39;100,0;;;;;;
handschoen;5,39;100,0;;;;;;
kerstman;5,39;100,0;;;;;;
minder;5,39;100,0;;;;;;
ons;5,39;100,0;;;;;;
paasklok;5,39;100,0;;;;;;
plasser;5,39;100,0;;;;;;
poppenhoek;5,39;100,0;;;;;;
wandelen;5,39;100,0;;;;;;
boer;5,39;99,8;;;;;;
bil;5,39;99,8;;;;;;
hoed;5,39;100,0;;;;;;
krokodil;5,40;100,0;;;;;;
kleurdoos;5,40;100,0;;;;;;
schommelen;5,40;100,0;;;;;;
barbie;5,40;100,0;;;;;;
helpen;5,40;100,0;;;;;;
krabben;5,40;100,0;;;;;;
lijmen;5,40;100,0;;;;;;
mesje;5,40;100,0;;;;;;
verdrietig;5,40;100,0;;;;;;
winnen;5,40;100,0;;;;;;
haan;5,40;100,0;;;;;;
appelsap;5,41;100,0;;;;;;
hout;5,41;99,9;;;;;;
kasteel;5,41;100,0;;;;;;
regenboog;5,41;100,0;;;;;;
sleutel;5,41;100,0;;;;;;
radio;5,42;100,0;;;;;;
vuilbak;5,42;100,0;;;;;;
middag;5,42;100,0;;;;;;
dutje;5,43;100,0;;;;;;
slak;5,44;100,0;;;;;;
stem;5,44;100,0;;;;;;
praat;5,44;97,7;;;;;;
smurf;5,44;100,0;;;;;;
wolf;5,44;100,0;;;;;;
ster;5,44;100,0;;;;;;
wacht;5,44;99,1;;;;;;
letter;5,44;100,0;;;;;;
voetbal;5,44;100,0;;;;;;
avondeten;5,44;100,0;;;;;;
brooddoos;5,44;100,0;;;;;;
eerst;5,44;100,0;;;;;;
gedaan;5,44;100,0;;;;;;
kietelen;5,44;100,0;;;;;;
nachtzoen;5,44;100,0;;;;;;
nooit;5,44;100,0;;;;;;
ook;5,44;100,0;;;;;;
salami;5,44;100,0;;;;;;
slabbetje;5,44;100,0;;;;;;
smurfen;5,44;100,0;;;;;;
straks;5,44;100,0;;;;;;
zo;5,44;100,0;;;;;;
zwembroek;5,44;100,0;;;;;;
vlek;5,45;100,0;;;;;;
boerderij;5,45;100,0;;;;;;
billen;5,45;100,0;;;;;;
gisteren;5,45;100,0;;;;;;
